.VERSION 1.0
.DATA_SOURCE fuller
.DATA_ID August-93-sample


.DATA_CONTACT	
       Name:     Tom Fuller
       Affiliation: Principia College (Asst Prof), Washington University 
              (Research Assistant and Doctoral candidate)
       Address:  Principia College, Elsah, IL 62028
       Phone:    314-935-7541
       Fax:      314-935-7540
       Email:    thf@cezanne.wustl.edu


.SETUP
       Site:        Kumon Project, Washington University, St. Louis, MO, USA
       Time:        July, 1992
       Conditions:  Supervised recording conditions
                    Subject sitting at a desk
       Writers:     Volunteer
       Form layout: Multiple boxes (26 for letters in rows)

.DATA_INFO
       Alphabet:	Latin lowercase
       Lexicon:		letters a-z
       Quantity:	one of each letter
       Quality:		all labels double checked.
       Number of writer(s): 1
       Writing style:	Printed
       Segmentation:	characters written in boxes. No "hand" segmentation

.PAD
       Machine name:	Wacom HD-648A
       Display:	translucent type blue mode (STN) with backlight
              Matrix 640  x 480 points
       Pen:   Untethered pen with side button


.COMMENT   ###################
           ### DATA LAYOUT ###
           ###################

.X_DIM			261		
.Y_DIM			120		
.H_LINE			0		

.COMMENT   ###################
           ### UNIT SYSTEM ###
           ###################

.COMMENT		1 inch ~ 2.5 cm
.X_POINTS_PER_INCH	500 	
.Y_POINTS_PER_INCH	500 	
.POINTS_PER_SECOND	192
.HIERARCHY		CHARACTER   
.COORD			X Y	

.COMMENT   ###############
           ### LEXICON ###
           ###############

.LEXICON  "a" "b" "c" "d" "e" "f" "g" "h" "i" "j" "k" "l" "m" 
	  "n" "o" "p" "q" "r" "s" "t" "u" "v" "w" "x" "y" "z"

.COMMENT ############
         ### DATA ###
         ############

.DATE           07 20 1992
.WRITER_ID      THF     
.HAND           R           
.SKILL          OK      
.STYLE          PRINTED

.COMMENT	In this file, segments are characters (total of 26 characters)

.SEGMENT CHARACTER 0 OK "a"
.PEN_DOWN
16 109
15 109
15 111
15 113
15 115
10 115
10 117
9 117
13 118
13 120
19 120
25 120
31 120
36 120
40 120
40 117
47 114
51 111
55 110
57 103
60 96
62 84
65 77
65 69
65 61
66 54
66 47
69 42
69 36
69 32
70 30
72 25
73 25
75 25
76 25
76 27
73 30
72 39
68 39
66 42
64 46
61 46
55 47
55 51
46 54
42 54
38 54
34 57
30 58
24 58
23 58
16 58
13 58
6 55
5 50
4 49
1 47
1 45
0 43
0 38
0 32
4 23
4 16
6 12
9 6
13 4
19 2
20 0
28 0
32 0
38 0
43 1
51 5
62 8
62 9
68 12
70 12
73 12
76 12
77 12
80 12
.PEN_UP

.SEGMENT CHARACTER 1-1 OK "b"

.PEN_DOWN
0 119
0 118
0 114
1 107
1 102
3 84
8 79
8 70
10 61
10 54
10 44
10 37
10 31
12 26
12 20
12 11
12 10
12 5
12 3
13 3
13 2
13 3
12 7
12 10
12 11
12 16
12 18
12 24
12 29
12 30
12 39
12 44
12 45
12 50
12 61
15 68
15 70
16 78
18 82
25 83
25 84
26 84
29 84
30 85
32 85
37 84
42 82
42 79
42 74
46 70
46 63
49 58
51 56
51 51
51 48
51 44
54 39
54 32
54 30
54 27
54 24
54 22
54 20
54 18
51 17
48 13
40 12
40 10
35 10
32 10
29 6
24 6
22 6
22 3
22 0
.PEN_UP

.SEGMENT CHARACTER 2 OK "c"

.PEN_DOWN
60 102
60 104
58 104
56 106
56 112
56 114
56 118
52 118
50 118
48 120
42 120
34 116
32 114
30 112
29 110
23 106
15 94
9 87
3 77
3 69
0 60
0 54
0 48
0 36
0 32
0 25
5 19
5 15
13 5
23 3
27 0
34 0
42 0
48 0
54 0
63 0
67 0
75 1
81 1
83 5
98 5
104 5
106 5
.PEN_UP

.SEGMENT CHARACTER 3 OK "d"

.PEN_DOWN
44 116
43 116
43 117
43 118
43 119
43 117
43 115
43 113
43 107
42 101
41 92
41 81
41 73
41 69
