.VERSION 1.0
.DATA_CONTACT	
.DATA_ID August-93-sample
       Name:     Tom Fuller
       Affiliation: Principia College (Asst Prof), Washington University 
              (Research Assistant and Doctoral candidate)
       Address:  Principia College, Elsah, IL 62028
       Phone:    314-935-7541
       Fax:      314-935-7540
       Email:    thf@cezanne.wustl.edu


.SETUP
       Site:        Kumon Project, Washington University, St. Louis, MO, USA
       Time:        July 15, 1993
       Conditions:  Supervised recording conditions
                    Subject sitting at a desk
       Writers:     Volunteer
       Form layout: Multiple boxes (10 for digits in 5 rows x 2 pages)

.DATA_INFO
       Alphabet:	Arabic/Latin
       Lexicon:		digits 0-9
       Quantity:	10 of each digit
       Quality:		Data cleaned by an operator, all labels double checked, 
			points compressed by computer to less than or equal to 60
       Number of writer(s): 1
       Writing style:	Printed
       Segmentation:	characters written in boxes. No "hand" segmentation

.PAD
       Machine name:	Scriptel Penwriter
       Display:	backlit liquid crystal display (LCD)
                  Matrix 640 x 480 points
                  VGA standard, black on white
       Pen:       Tethered pen with side button

.COMMENT   ###################
           ### DATA LAYOUT ###
           ###################

.X_DIM			181		
.Y_DIM			120		
.H_LINE			0		

.COMMENT   ###################
           ### UNIT SYSTEM ###
           ###################

.COMMENT		1 inch ~ 2.5 cm
.X_POINTS_PER_INCH	 94 	
.Y_POINTS_PER_INCH	 94 	
.POINTS_PER_SECOND	200
.HIERARCHY		CHARACTER   
.COORD			X Y	

.COMMENT   ###############
           ### LEXICON ###
           ###############

.LEXICON  "0" "1" "2" "3" "4" "5" "6" "7" "8" "9"

.COMMENT ############
         ### DATA ###
         ############

.DATE           07 15 1993  
.WRITER_ID      ERF     
.HAND           R           
.SKILL          OK      
.STYLE          PRINTED

.COMMENT	In this file, segments are characters (total of 100 characters)

.SEGMENT CHARACTER 0 OK "0"

.PEN_DOWN
63 97
63 99
61 101
60 101
58 101
54 101
53 99
51 97
46 96
44 94
37 89
34 85
30 84
29 82
22 75
17 70
15 66
13 63
10 58
5 51
3 48
1 42
0 39
0 34
0 24
1 18
3 13
5 12
10 5
13 3
22 0
