.VERSION 1.0
.DATA_SOURCE philips
.DATA_ID August-93-sample

.DATA_CONTACT	Name:		Philippe Gentric
		Affiliation:	Laboratoire d'Electronique Philips (LEP)
		Address:	22, avenue Descartes
				94451 Limeil-Brevannes
				FRANCE
		Phone:		33 (1) 45 10 68 63
		Fax:		33 (1) 45 10 68 72
		Email:		gentric@lep.lep-philips.fr

.SETUP		Site:		LEP
		Time:		September 92
		Conditions:	Writers were sitted
		Writers:	Staff, paid with chocolate chips (no joke !)
		Form:           One box, only one word at a time:
				"Please write the word xxxx"
		Acquisition
		software:	"wordaki", LEP made Pen-Windows application
				running under Windows 3.1 beta releases

.DATA_INFO	Alphabet:	Latin, upper and lower case
		Lexicon:	about 100 words taken at random among the 1000 "most common" english words
		Quantity:	100 characters from 1362 words from 13 peoples
		Quality:	cleaned and checked by human beings after segmentation
		Style:		"discrete characters" (one pen up after each character)
		Segmentation:	by program (home made)
.PAD		Type:		Philips Advanced Interactive Display (PAID)
				prototype type "notebook"
		Display:	640x480 (VGA) 16 gray levels
		Sensor:		Philips confidential
		Driver:		MS-mouse-like from PAID team


.COMMENT        the following figures are approximatives

.X_DIM		    15000
.Y_DIM		    3000
.H_LINE		    0
.POINTS_PER_SECOND  200
.X_POINTS_PER_MM 100
.Y_POINTS_PER_MM 100

.COMMENT	the lexicon is available... just ask for it. 
.COMMENT	all characters are Ts

.COMMENT        Note of the translator version 0.0 to 0.5: the segment delineations
                did not respect the convention of numbering of strokes; they were
                replaced by ?;since the quality was checked, ? were replaced
		by OK.

.HIERARCHY CHARACTER   
.COORD X Y

.SEGMENT CHARACTER ? OK "T"
.PEN_DOWN
2338 -370
2339 -367
2338 -367
2339 -370
2339 -397
2334 -459
2331 -571
2333 -666
2338 -748
2341 -804
2341 -831
2334 -848
.PEN_UP
.PEN_DOWN
1979 -331
1982 -328
2010 -330
2091 -339
2227 -345
2382 -345
2528 -341
2637 -337
2708 -333
2753 -329
.PEN_UP

.SEGMENT CHARACTER ? OK "T"
.PEN_DOWN
2354 -273
2354 -284
2356 -320
2356 -386
2351 -497
2341 -620
2333 -731
2328 -819
2324 -877
2329 -908
.PEN_UP
.PEN_DOWN
2027 -290
2028 -293
2073 -290
2212 -292
2336 -285
2516 -275
2690 -264
2771 -262
2807 -259
.PEN_UP

.SEGMENT CHARACTER ? OK "T"
.PEN_DOWN
2552 -331
2552 -331
2551 -345
2548 -393
2541 -475
2538 -574
2538 -672
2534 -755
2529 -814
2528 -848
.PEN_UP
.PEN_DOWN
2318 -359
2316 -362
2323 -364
2359 -364
2428 -359
2523 -357
2609 -357
2673 -355
2716 -355
2744 -350
.PEN_UP

.SEGMENT CHARACTER ? OK "T"
.PEN_DOWN
2142 -304
2142 -304
2142 -298
2149 -290
2149 -284
2152 -293
2157 -321
2162 -387
2162 -483
2157 -589
2151 -685
2144 -759
2142 -807
2142 -831
.PEN_UP
.PEN_DOWN
1909 -294
1899 -285
1894 -280
1896 -278
1929 -283
2013 -294
2131 -299
2238 -297
2321 -295
2372 -298
.PEN_UP

.SEGMENT CHARACTER ? OK "T"
.PEN_DOWN
2227 -409
2232 -402
2232 -399
2230 -421
2235 -476
2238 -556
2242 -644
2240 -724
2237 -785
2237 -822
2238 -840
.PEN_UP
.PEN_DOWN
1954 -399
1954 -399
1979 -401
2037 -401
2114 -402
2238 -402
2374 -401
2432 -399
2483 -401
2514 -402
.PEN_UP

.SEGMENT CHARACTER ? OK "T"
.PEN_DOWN
3693 -421
3696 -419
3706 -410
3714 -410
3720 -425
3717 -472
3712 -558
3706 -654
3705 -740
3706 -801
3702 -839
3693 -851
.PEN_UP
.PEN_DOWN
3482 -400
3482 -397
3482 -391
3491 -382
3513 -370
3548 -373
3631 -369
3739 -367
3865 -366
3920 -361
3978 -360
4002 -351
.PEN_UP

.SEGMENT CHARACTER ? OK "T"
.PEN_DOWN
1744 -304
1744 -305
1744 -318
1746 -357
1739 -426
1729 -512
1721 -600
1714 -672
1711 -723
1711 -753
.PEN_UP
.PEN_DOWN
1451 -334
1451 -334
1456 -331
1486 -323
1549 -313
1650 -295
1764 -282
1860 -271
1924 -262
1966 -262
.PEN_UP

.SEGMENT CHARACTER ? OK "T"
.PEN_DOWN
3417 -153
3421 -153
3421 -169
3414 -238
3404 -370
3398 -529
3398 -672
3398 -773
3389 -829
.PEN_UP
.PEN_DOWN
3088 -200
3105 -190
3172 -186
3287 -179
3414 -171
3588 -163
.PEN_UP

.SEGMENT CHARACTER ? OK "T"
.PEN_DOWN
2799 -206
2794 -215
2786 -241
2776 -304
2776 -413
2776 -534
2780 -650
2778 -729
2764 -765
2718 -744
.PEN_UP
.PEN_DOWN
2523 -207
2520 -199
2513 -196
2520 -197
2553 -197
