.VERSION 1.0
.DATA_SOURCE go
.DATA_ID August-93-sample

.COMMENT     		#####################
			### DOCUMENTATION ###
			#####################

.DATA_CONTACT		Name:		Isabelle Guyon
			Affiliation:	AT&T Bell Laboratories
			Address:	50 Fremont street, 40th floor
					San Francisco, CA 94105, USA
			Phone:		1 (415) 442 59 37
			Fax:		1 (415) 442 59 67
			Email:		isabelle@neural.att.com
			Original contact: Sandy_Benett@go.com

.SETUP			Site:		GO corporation
					Foster City, California
			Time:		1990?
			Conditions:	Supervised recording conditions
					People sitting at a desk
 		        Writers:	Paid people from unemployment agency
			Form layout:	Boxes or combs?

.DATA_INFO			PROPRIETARY DATA FROM GO CORPORATION
			Alphabet:	Keyboard ASCII characters (no control char)
			Lexicon:	English words
			Quantity:	About 150000 characters, total (100 in
					this sample)
			Quality:	Underscore labels mean trash
			Number of writer(s): Approx. 200
			Writing style:	Printed
			Segmentation:	Words written in boxes or combs. Segmentation
					into characters.

.PAD			Machine name:	GO Lombard??
			Display:	??
			Sensor:		??
			Pen:		??
			Driver:		??


.COMMENT		###################
			### DATA LAYOUT ###
			###################

.X_DIM			100		
.Y_DIM			150		
.H_LINE			50		
.COMMENT		These are not the original, they have been eveluated
			a posteriori.

.COMMENT		###################
			### UNIT SYSTEM ###
			###################

.COMMENT		Tablet resolution unknown.
.POINTS_PER_SECOND	100
.POINTS_PER_MM      	10
.COMMENT		Sampling rate unsure.	
.HIERARCHY CHARACTER   
.COORD			X Y	

.COMMENT	############
		### DATA ###
		############

.DATE           08 15 1993

.WRITER_ID      subj019
.STYLE          PRINTED

.SEGMENT CHARACTER  0 OK "6"
.PEN_DOWN
35 96 
35 96 
31 91 
25 80 
24 66 
29 55 
37 51 
45 52 
50 59 
48 66 
41 68 
34 64 
33 56 
37 50 
.PEN_UP

.SEGMENT CHARACTER  1-2 OK "&"
.PEN_DOWN
35 91 
30 94 
22 94 
14 92 
12 89 
16 86 
24 85 
28 84 
22 83 
13 80 
9 76 
10 72 
16 70 
23 70 
.PEN_UP 
.PEN_DOWN
23 106 
22 94 
24 81 
27 68 
29 58 
.PEN_UP

.SEGMENT CHARACTER  3 OK "1"
.PEN_DOWN
35 93 
33 85 
33 75 
33 62 
33 48 
.PEN_UP

.SEGMENT CHARACTER  4-5 OK "A"
.PEN_DOWN
35 54 
33 50 
34 54 
37 64 
41 75 
47 87 
51 93 
56 90 
60 81 
65 70 
69 58 
73 52 
77 50 
.PEN_UP 
.PEN_DOWN
43 70 
55 72 
71 74 
.PEN_UP

.SEGMENT CHARACTER  6 OK "I"
.PEN_DOWN
35 96 
34 86 
34 74 
36 62 
.PEN_UP

.SEGMENT CHARACTER  7-8 OK "D"
.PEN_DOWN
35 93 
34 81 
32 71 
32 62 
34 54 
.PEN_UP 
.PEN_DOWN
36 97 
46 96 
61 91 
69 83 
67 72 
58 63 
47 59 
37 59 
30 60 
.PEN_UP

.SEGMENT CHARACTER  9-11 OK "E"
.PEN_DOWN
35 95 
34 85 
34 76 
34 67 
34 58 
36 52 
43 51 
54 53 
67 55 
78 59 
.PEN_UP 
.PEN_DOWN
35 95 
47 97 
58 98 
66 99 
.PEN_UP 
.PEN_DOWN
42 75 
55 75 
73 77 
.PEN_UP

.SEGMENT CHARACTER  12 BAD "_"
.PEN_DOWN
35 94 
33 97 
41 100 
54 102 
72 107 
87 112 
96 115 
.PEN_UP

.SEGMENT CHARACTER  13 OK "h"
.PEN_DOWN
35 108 
35 95 
35 80 
35 68 
35 59 
35 55 
34 59 
39 64 
47 69 
56 73 
62 72 
64 68 
64 61 
64 55 
64 50 
66 47 
.PEN_UP

.SEGMENT CHARACTER  14 OK "e"
.PEN_DOWN
35 69 
38 67 
44 66 
50 68 
55 72 
57 76 
55 80 
50 81 
43 77 
36 69 
33 61 
36 55 
44 52 
53 53 
62 57 
.PEN_UP

.SEGMENT CHARACTER  15 OK "v"
.PEN_DOWN
35 72 
37 67 
39 62 
42 55 
47 48 
51 40 
53 34 
54 32 
55 36 
57 44 
59 51 
60 57 
62 64 
64 72 
66 78 
.PEN_UP

.SEGMENT CHARACTER  16 OK "e"
.PEN_DOWN
35 66 
39 63 
45 63 
48 66 
49 70 
48 75 
44 77 
39 75 
33 68 
31 60 
33 52 
38 46 
45 44 
53 45 
61 50 
.PEN_UP

.SEGMENT CHARACTER  17-18 OK "x"
.PEN_DOWN
35 78 
37 75 
40 71 
45 65 
50 59 
53 56 
.PEN_UP 
.PEN_DOWN
53 81 
48 71 
41 60 
36 52 
32 46 
.PEN_UP

.SEGMENT CHARACTER  19 OK "e"
.PEN_DOWN
35 71 
41 70 
47 70 
53 71 
58 74 
60 78 
58 82 
52 82 
45 79 
39 73 
36 63 
39 57 
46 54 
56 54 
63 57 
69 62 
.PEN_UP

.SEGMENT CHARACTER  20-21 OK "d"
.PEN_DOWN
35 71 
35 76 
32 78 
26 77 
17 73 
10 66 
8 60 
12 54 
19 52 
28 53 
38 57 
.PEN_UP 
.PEN_DOWN
37 97 
36 82 
37 70 
38 61 
39 53 
.PEN_UP

.SEGMENT CHARACTER  22-23 OK "j"
.PEN_DOWN
35 60 
35 54 
38 43 
40 28 
40 17 
36 10 
29 8 
18 9 
8 14 
0 21 
.PEN_UP 
.PEN_DOWN
32 84 
34 86 
36 87 
39 86 
.PEN_UP

.SEGMENT CHARACTER  24 OK "u"
.PEN_DOWN
35 71 
35 66 
35 59 
40 51 
44 46 
49 45 
55 49 
58 56 
60 64 
61 67 
62 59 
67 52 
74 46 
.PEN_UP

.SEGMENT CHARACTER  25 OK "n"
.PEN_DOWN
35 73 
36 65 
37 56 
37 48 
37 45 
39 50 
43 59 
48 66 
53 69 
57 67 
59 61 
61 55 
63 50 
65 45 
.PEN_UP

.SEGMENT CHARACTER  26-27 OK "i"
.PEN_DOWN
35 70 
36 65 
37 59 
38 52 
39 46 
.PEN_UP 
.PEN_DOWN
40 90 
42 94 
.PEN_UP

.SEGMENT CHARACTER  28 OK "o"
.PEN_DOWN
35 73 
27 71 
19 65 
17 57 
20 51 
31 49 
42 52 
47 59 
44 68 
37 73 
32 76 
.PEN_UP

.SEGMENT CHARACTER  29 OK "r"
.PEN_DOWN
35 71 
36 64 
37 57 
38 53 
37 51 
36 55 
40 63 
49 70 
59 73 
68 75 
.PEN_UP

.SEGMENT CHARACTER  30 OK "q"
.PEN_DOWN
35 68 
36 71 
33 74 
24 75 
15 73 
11 67 
12 60 
18 57 
26 57 
34 62 
37 66 
38 67 
37 61 
34 49 
31 31 
28 14 
29 3 
34 -4 
43 -5 
53 0 
59 8 
59 17 
54 25 
.PEN_UP

